date,positive_percent
2020-05-19,9.7
2020-05-20,15.1
2020-05-21,12.6
2020-05-22,9.2
2020-05-23,13.4
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,13.8
2020-05-27,22.0
2020-05-28,15.5
2020-05-29,15.8
2020-05-30,16.1
2020-05-31,16.7
2020-06-01,12.3
2020-06-02,20.9
2020-06-03,18.6
2020-06-04,18.1
2020-06-05,18.5
2020-06-06,16.7
2020-06-07,20.5
2020-06-08,18.5
2020-06-09,20.7
2020-06-10,20.2
2020-06-11,17.3
2020-06-12,13.5
2020-06-13,18.8
2020-06-14,19.1
2020-06-15,26.0
2020-06-16,24.1
2020-06-17,19.9
2020-06-18,22.4
2020-06-19,15.9
2020-06-20,29.1
2020-06-21,28.8
2020-06-22,27.1
2020-06-23,25.1
2020-06-24,24.0
2020-06-25,30.6
2020-06-26,26.1
2020-06-27,26.3
2020-06-28,26.4
2020-06-29,18.0
2020-06-30,26.0
2020-07-01,24.1
2020-07-02,28.2
2020-07-03,23.6
2020-07-04,26.3
2020-07-05,26.5
2020-07-06,36.0
2020-07-07,33.3
2020-07-08,37.0
2020-07-09,24.7
2020-07-10,26.0
2020-07-11,26.9
2020-07-12,25.5
2020-07-13,29.3
2020-07-14,26.0
2020-07-15,27.8
2020-07-16,27.6
2020-07-17,24.8
2020-07-18,27.7
2020-07-19,20.6
2020-07-20,27.5
2020-07-21,29.0
2020-07-22,23.0
2020-07-23,25.7
2020-07-24,24.2
2020-07-25,27.6
2020-07-26,21.6
2020-07-27,24.4
2020-07-28,22.0
2020-07-29,16.6
2020-07-30,20.7
2020-07-31,18.6
2020-08-01,25.3
2020-08-02,15.8
2020-08-03,15.9
2020-08-04,20.9
2020-08-05,21.5
2020-08-06,20.6
2020-08-07,18.9
2020-08-08,23.4
2020-08-09,20.2
2020-08-10,14.9
2020-08-11,21.7
2020-08-12,19.1
2020-08-13,21.5
2020-08-14,21.7
2020-08-15,25.1
2020-08-16,29.2
2020-08-17,12.3
2020-08-18,21.3
2020-08-19,20.5
2020-08-20,22.3
2020-08-21,21.3
2020-08-22,23.9
2020-08-23,22.5
2020-08-24,16.4
2020-08-25,17.7
2020-08-26,20.5
2020-08-27,24.9
2020-08-28,23.0
2020-08-29,24.5
2020-08-30,32.4
2020-08-31,21.2
2020-09-01,19.3
2020-09-02,19.5
2020-09-03,20.8
2020-09-04,18.5
2020-09-05,21.7
2020-09-06,21.6
2020-09-07,17.7
2020-09-08,25.3
2020-09-09,25.2
2020-09-10,21.5
2020-09-11,21.5
2020-09-12,22.7
2020-09-13,25.3
2020-09-14,19.0
2020-09-15,26.4
2020-09-16,20.9
2020-09-17,26.5
2020-09-18,23.0
2020-09-19,17.1
2020-09-20,27.6
2020-09-21,21.2
2020-09-22,25.4
2020-09-23,21.5
2020-09-24,20.6
2020-09-25,20.7
2020-09-26,13.4
2020-09-27,20.0
2020-09-28,22.4
2020-09-29,20.1
2020-09-30,19.9
2020-10-01,21.0
2020-10-02,19.5
2020-10-03,23.6
2020-10-04,24.2
2020-10-05,20.8
2020-10-06,25.3
2020-10-07,22.9
2020-10-08,22.1
2020-10-09,20.1
2020-10-10,25.6
2020-10-11,25.0
2020-10-12,25.0
2020-10-13,29.1
2020-10-14,22.4
2020-10-15,22.9
2020-10-16,24.7
2020-10-17,26.3
2020-10-18,23.5
2020-10-19,24.4
2020-10-20,23.6
2020-10-21,19.0
2020-10-22,23.2
2020-10-23,26.2
2020-10-24,25.0
2020-10-25,29.8
2020-10-26,25.3
2020-10-27,27.0
2020-10-28,23.5
2020-10-29,29.5
2020-10-30,25.2
2020-10-31,27.6
2020-11-01,24.8
2020-11-02,24.7
2020-11-03,28.7
2020-11-04,28.3
2020-11-05,26.1
2020-11-06,25.2
2020-11-07,30.9
2020-11-08,26.8
2020-11-09,34.8
2020-11-10,30.1
2020-11-11,36.4
2020-11-12,31.7
2020-11-13,32.1
2020-11-14,35.8
2020-11-15,32.8
2020-11-16,35.6
2020-11-17,36.4
2020-11-18,38.6
2020-11-19,35.3
2020-11-20,39.6
2020-11-21,40.6
2020-11-22,40.9
2020-11-23,39.3
2020-11-24,35.4
2020-11-25,34.7
2020-11-26,35.8
2020-11-27,40.8
2020-11-28,37.1
2020-11-29,44.0
2020-11-30,41.3
2020-12-01,37.3
2020-12-02,41.6
2020-12-03,38.3
2020-12-04,38.4
2020-12-05,39.9
2020-12-06,52.1
2020-12-07,44.5
2020-12-08,38.1
2020-12-09,38.7
2020-12-10,43.3
2020-12-11,42.6
2020-12-12,34.8
2020-12-13,44.1
2020-12-14,40.7
2020-12-15,38.7
2020-12-16,37.4
2020-12-17,33.7
2020-12-18,36.2
2020-12-19,37.8
2020-12-20,42.6
2020-12-21,42.9
2020-12-22,38.3
2020-12-23,38.0
2020-12-24,41.3
2020-12-25,40.3
2020-12-26,40.8
2020-12-27,41.5
2020-12-28,37.3
2020-12-29,46.5
2020-12-30,38.4
2020-12-31,0.0
2021-01-02,39.5
2021-01-03,32.1
2021-01-04,44.2
2021-01-05,43.5
2021-01-06,42.4
2021-01-07,36.7
2021-01-08,42.6
2021-01-09,46.0
2021-01-10,49.1
2021-01-11,43.1
2021-01-12,47.9
2021-01-13,40.0
2021-01-14,47.8
2021-01-15,42.4
2021-01-16,45.4
2021-01-17,44.2
2021-01-18,44.9
2021-01-19,41.9
2021-01-20,48.1
2021-01-21,41.6
2021-01-22,41.2
2021-01-23,45.3
2021-01-24,48.0
2021-01-25,47.6
2021-01-26,44.3
2021-01-27,39.0
2021-01-28,39.3
2021-01-29,38.2
2021-01-30,45.8
2021-01-31,42.5
2021-02-01,35.7
2021-02-02,44.6
2021-02-03,34.3
2021-02-04,44.7
2021-02-05,38.6
2021-02-06,37.8
2021-02-07,45.0
2021-02-08,36.8
2021-02-09,33.1
2021-02-10,34.2
2021-02-11,33.1
2021-02-12,36.6
2021-02-13,36.5
2021-02-14,37.9
2021-02-15,38.9
2021-02-16,33.9
2021-02-17,38.3
2021-02-18,37.3
2021-02-19,34.0
2021-02-20,36.1
2021-02-21,35.3
2021-02-22,44.2
2021-02-23,37.1
2021-02-24,35.9
2021-02-25,35.1
2021-02-26,37.5
2021-02-27,39.4
2021-02-28,33.3
2021-03-01,41.7
2021-03-02,34.2
2021-03-03,43.5
2021-03-04,37.1
2021-03-05,39.3
2021-03-06,39.4
2021-03-07,38.3
2021-03-08,48.4
2021-03-09,38.0
2021-03-10,38.0
2021-03-11,39.3
2021-03-12,43.9
2021-03-13,42.0
2021-03-14,37.8
2021-03-15,37.7
2021-03-16,35.9
2021-03-17,34.8
2021-03-18,29.7
2021-03-19,46.7
2021-03-20,35.9
2021-03-21,52.6
2021-03-22,39.3
2021-03-23,37.8
2021-03-24,41.4
2021-03-25,42.3
2021-03-26,41.8
2021-03-27,40.0
2021-03-28,49.2
2021-03-29,36.8
2021-03-30,44.5
2021-03-31,39.5
2021-04-01,39.7
2021-04-02,40.2
2021-04-03,38.1
2021-04-04,58.2
2021-04-05,35.2
2021-04-06,53.7
2021-04-07,50.5
2021-04-08,55.3
2021-04-09,56.0
2021-04-10,58.7
2021-04-11,66.2
2021-04-12,41.2
2021-04-13,59.5
2021-04-14,53.9
2021-04-15,39.1
2021-04-16,50.4
2021-04-17,52.8
2021-04-18,60.1
2021-04-19,30.6
2021-04-20,51.7
2021-04-21,53.2
2021-04-22,56.4
2021-04-23,54.5
2021-04-24,54.4
2021-04-25,58.5
2021-04-26,55.6
2021-04-27,61.9
2021-04-28,61.5
2021-04-29,58.7
2021-04-30,59.5
2021-05-01,58.2
2021-05-02,53.5
2021-05-03,49.1
2021-05-04,61.2
2021-05-05,59.2
2021-05-06,64.0
2021-05-07,64.4
2021-05-08,57.3
2021-05-09,60.5
2021-05-10,64.8
2021-05-11,64.6
2021-05-12,64.8
2021-05-13,63.1
2021-05-14,47.0
2021-05-15,40.9
2021-05-16,57.6
2021-05-17,59.8
2021-05-18,63.2
2021-05-19,62.9
2021-05-20,57.8
2021-05-21,60.1
2021-05-22,62.6
2021-05-23,65.4
2021-05-24,61.4
2021-05-25,65.6
2021-05-26,62.2
2021-05-27,62.2
2021-05-28,58.0
2021-05-29,63.2
2021-05-30,63.1
2021-05-31,59.3
2021-06-01,61.1
2021-06-02,63.1
2021-06-03,61.8
2021-06-04,61.1
2021-06-05,58.3
2021-06-06,55.8
2021-06-07,60.9
2021-06-08,61.9
2021-06-09,64.3
2021-06-10,62.1
2021-06-11,61.3
2021-06-12,61.9
2021-06-13,50.3
2021-06-14,63.7
2021-06-15,67.3
2021-06-16,65.3
2021-06-17,62.1
2021-06-18,62.4
2021-06-19,64.8
2021-06-20,61.2
2021-06-21,63.1
2021-06-22,65.2
2021-06-23,62.6
2021-06-24,59.6
2021-06-25,62.0
2021-06-26,61.9
2021-06-27,60.6
2021-06-28,49.1
2021-06-29,40.6
2021-06-30,47.5
2021-07-01,42.5
2021-07-02,47.6
2021-07-03,46.7
2021-07-04,48.7
2021-07-05,60.6
2021-07-06,59.7
2021-07-07,61.2
2021-07-08,61.8
2021-07-09,64.5
2021-07-10,56.8
2021-07-11,65.4
2021-07-12,64.3
2021-07-13,68.6
2021-07-14,62.0
2021-07-15,57.3
2021-07-16,60.6
2021-07-17,68.9
2021-07-18,57.0
2021-07-19,64.1
2021-07-20,65.1
2021-07-21,69.3
2021-07-22,62.9
2021-07-23,63.8
2021-07-24,67.4
2021-07-25,53.2
2021-07-26,68.8
2021-07-27,66.0
2021-07-28,68.4
2021-07-29,66.5
2021-07-30,70.4
2021-07-31,58.1
2021-08-01,69.1
2021-08-02,65.3
2021-08-03,67.2
2021-08-04,74.6
2021-08-05,62.7
2021-08-06,69.6
2021-08-07,68.7
2021-08-08,65.4
2021-08-09,70.5
2021-08-10,75.9
2021-08-11,73.3
2021-08-12,75.2
2021-08-13,70.1
2021-08-14,79.6
2021-08-15,74.2
2021-08-16,70.9
2021-08-17,70.2
2021-08-18,72.5
2021-08-19,75.3
2021-08-20,75.0
2021-08-21,74.0
2021-08-22,80.5
2021-08-23,73.0
2021-08-24,77.0
2021-08-25,69.4
2021-08-26,76.3
2021-08-27,79.2
2021-08-28,72.7
2021-08-29,73.6
2021-08-30,76.5
2021-08-31,80.0
2021-09-01,78.3
2021-09-02,77.3
2021-09-03,77.6
2021-09-04,74.2
2021-09-05,77.8
2021-09-06,75.7
2021-09-07,81.1
2021-09-08,74.0
2021-09-09,74.7
2021-09-10,78.3
2021-09-11,78.9
2021-09-12,84.7
2021-09-13,85.4
2021-09-14,82.1
2021-09-15,81.1
2021-09-16,79.0
2021-09-17,80.2
2021-09-18,76.0
2021-09-19,77.5
2021-09-20,81.7
2021-09-21,80.9
2021-09-22,83.9
2021-09-23,81.5
2021-09-24,62.4
2021-09-25,81.3
2021-09-26,79.3
2021-09-27,79.9
2021-09-28,77.2
2021-09-29,75.4
2021-09-30,80.6
2021-10-01,79.2
2021-10-02,81.5
2021-10-03,72.3
2021-10-04,80.3
2021-10-05,80.1
2021-10-06,76.6
2021-10-07,78.9
2021-10-08,78.0
2021-10-09,79.8
2021-10-10,75.1
2021-10-11,80.4
2021-10-12,81.2
2021-10-13,70.2
2021-10-14,71.5
2021-10-15,76.2
2021-10-16,78.3
2021-10-17,75.5
2021-10-18,77.2
2021-10-19,75.3
2021-10-20,80.3
2021-10-21,76.9
2021-10-22,74.3
2021-10-23,74.1
2021-10-24,76.2
2021-10-25,77.4
2021-10-26,77.4
2021-10-27,74.4
2021-10-28,79.2
2021-10-29,75.6
2021-10-30,75.5
2021-10-31,73.7
2021-11-01,75.8
2021-11-02,77.4
2021-11-03,77.6
2021-11-04,74.8
2021-11-05,71.7
2021-11-06,77.0
2021-11-07,76.2
2021-11-08,76.6
2021-11-09,81.0
2021-11-10,76.1
2021-11-11,76.4
2021-11-12,79.1
2021-11-13,73.0
2021-11-14,75.7
2021-11-15,80.3
2021-11-16,82.3
2021-11-17,79.6
2021-11-18,73.3
2021-11-19,78.4
2021-11-20,73.1
2021-11-21,79.4
2021-11-22,78.5
2021-11-23,79.4
2021-11-24,79.8
2021-11-25,74.7
2021-11-26,81.5
2021-11-27,83.1
2021-11-28,72.2
2021-11-29,80.6
2021-11-30,83.6
2021-12-01,80.1
2021-12-02,80.6
2021-12-03,77.2
2021-12-04,83.6
2021-12-05,82.3
2021-12-06,76.3
2021-12-07,80.0
2021-12-08,82.6
2021-12-09,85.2
2021-12-10,83.4
2021-12-11,76.0
2021-12-12,83.6
2021-12-13,84.3
2021-12-14,85.2
2021-12-15,79.2
2021-12-16,86.0
2021-12-17,82.6
2021-12-18,76.1
2021-12-19,77.6
2021-12-20,83.3
2021-12-21,82.9
2021-12-22,80.8
2021-12-23,86.5
2021-12-24,81.5
2021-12-25,80.6
2021-12-26,74.5
2021-12-27,82.7
2021-12-28,86.4
2021-12-29,81.9
2021-12-30,82.0
2022-01-02,80.4
2022-01-03,82.4
2022-01-04,80.7
2022-01-05,89.1
2022-01-06,84.6
2022-01-07,64.5
2022-01-08,84.3
2022-01-09,75.5
2022-01-10,87.2
2022-01-11,84.3
2022-01-12,87.1
2022-01-13,86.7
2022-01-14,77.1
2022-01-15,86.5
2022-01-16,80.3
2022-01-17,83.2
2022-01-18,83.2
2022-01-19,81.2
2022-01-20,89.1
2022-01-21,80.2
2022-01-22,85.4
2022-01-23,79.9
2022-01-24,82.8
2022-01-25,80.2
2022-01-26,80.6
2022-01-27,81.7
2022-01-28,85.6
2022-01-29,80.6
2022-01-30,73.5
2022-01-31,86.7
2022-02-01,85.3
2022-02-02,83.6
2022-02-03,83.8
2022-02-04,86.0
2022-02-05,81.9
2022-02-06,83.6
2022-02-07,79.2
2022-02-08,91.0
2022-02-09,83.0
2022-02-10,83.5
2022-02-11,83.7
2022-02-12,84.4
2022-02-13,74.7
2022-02-14,86.4
2022-02-15,86.5
2022-02-16,89.6
2022-02-17,88.6
2022-02-18,87.7
2022-02-19,84.9
2022-02-20,88.9
2022-02-21,90.4
2022-02-22,85.3
2022-02-23,78.2
2022-02-24,85.5
2022-02-25,84.6
2022-02-26,85.8
2022-02-27,84.3
2022-02-28,85.4
2022-03-01,86.8
2022-03-02,89.0
2022-03-03,86.6
2022-03-04,85.8
2022-03-05,90.8
2022-03-06,81.6
2022-03-07,86.1
2022-03-08,87.5
2022-03-09,95.8
2022-03-10,95.5
2022-03-11,86.6
2022-03-12,96.5
2022-03-13,80.6
2022-03-14,91.8
2022-03-15,85.7
2022-03-16,89.5
2022-03-17,86.1
2022-03-18,86.7
2022-03-19,91.4
2022-03-20,87.9
2022-03-21,88.7
2022-03-22,89.1
2022-03-23,92.0
2022-03-24,90.0
2022-03-25,82.5
2022-03-26,91.7
2022-03-27,70.4
2022-03-28,84.1
2022-03-29,85.4
2022-03-30,84.0
2022-03-31,87.5
2022-04-01,89.1
2022-04-02,88.5
2022-04-03,90.5
2022-04-04,96.8
2022-04-05,88.1
2022-04-06,84.7
2022-04-07,84.8
2022-04-08,90.6
2022-04-09,90.6
2022-04-10,90.5
2022-04-11,90.9
2022-04-12,96.1
2022-04-13,54.5
2022-04-14,92.1
2022-04-15,94.1
2022-04-16,81.4
2022-04-17,86.8
2022-04-18,92.2
2022-04-19,82.4
2022-04-20,93.6
2022-04-21,87.1
2022-04-22,91.6
2022-04-23,93.2
2022-04-24,90.9
2022-04-25,89.1
2022-04-26,86.5
2022-04-27,87.9
2022-04-28,96.7
2022-04-29,86.0
2022-04-30,89.5
2022-05-01,72.0
2022-05-02,85.7
2022-05-03,88.2
2022-05-04,92.5
2022-05-05,92.5
2022-05-06,83.7
2022-05-07,90.0
2022-05-08,82.4
2022-05-09,80.0
2022-05-10,95.5
2022-05-11,96.3
2022-05-12,92.9
2022-05-13,68.5
2022-05-14,80.6
2022-05-15,85.0
2022-05-16,68.8
2022-05-17,80.0
2022-05-18,87.0
2022-05-19,83.0
2022-05-20,93.5
2022-05-21,88.5
2022-05-22,70.0
2022-05-23,84.8
2022-05-24,100.0
2022-05-25,92.3
2022-05-26,97.0
2022-05-27,83.8
2022-05-28,100.0
2022-05-29,100.0
2022-05-30,85.7
2022-05-31,89.7
2022-06-01,92.3
2022-06-02,75.0
2022-06-03,87.0
2022-06-04,90.9
2022-06-05,80.0
2022-06-06,88.9
2022-06-07,85.3
2022-06-08,80.0
2022-06-09,90.5
2022-06-10,86.4
2022-06-11,88.0
2022-06-12,100.0
2022-06-13,90.0
2022-06-14,76.2
2022-06-15,100.0
2022-06-16,96.4
2022-06-17,96.2
2022-06-18,82.4
2022-06-19,91.7
2022-06-20,76.2
2022-06-21,93.9
2022-06-22,90.5
2022-06-23,96.3
2022-06-24,87.5
2022-06-25,87.0
2022-06-26,50.0
2022-06-27,93.8
2022-06-28,93.3
2022-06-29,82.4
2022-06-30,96.4
2022-07-01,78.6
2022-07-02,100.0
2022-07-03,87.5
2022-07-04,96.2
2022-07-05,92.9
2022-07-06,95.7
2022-07-07,82.8
2022-07-08,90.0
2022-07-09,100.0
2022-07-10,93.3
2022-07-11,88.2
2022-07-12,97.1
2022-07-13,92.9
2022-07-14,96.4
2022-07-15,93.3
2022-07-16,94.4
2022-07-17,96.2
2022-07-18,92.9
2022-07-19,100.0
2022-07-20,93.6
2022-07-21,95.8
2022-07-22,94.1
