Date,hospitalized,Vaccited,cum_diagnoses,cum_recoveries,cum_deaths,Active cases,new_recoveries,new_deaths,new_diagnoses,yandex_index
2020-03-16,,,9,1,0,8,1,0,9,0.7
2020-03-17,,,9,1,0,8,0,0,0,0.6
2020-03-18,,,9,2,0,7,1,0,0,0.8
2020-03-19,,,10,2,0,8,0,0,1,0.9
2020-03-20,,,14,2,0,12,0,0,4,0.9
2020-03-21,,,16,2,0,14,0,0,2,2.4
2020-03-22,,,16,2,0,14,0,0,0,2.8
2020-03-23,,,16,2,0,14,0,0,0,1
2020-03-24,,,21,2,0,19,0,0,5,1.1
2020-03-25,,,21,2,0,19,0,0,0,1
2020-03-26,,,26,2,0,24,0,0,5,1.1
2020-03-27,,,26,5,0,21,3,0,0,1.1
2020-03-28,,,37,6,1,30,1,1,11,3
2020-03-29,,,42,5,1,36,-1,0,5,3.6
2020-03-30,,,50,5,2,43,0,1,8,3
2020-03-31,,,98,7,2,89,2,0,48,3.2
2020-04-01,,,125,7,2,116,0,0,27,3.4
2020-04-02,17,,147,7,2,138,0,0,22,3.5
2020-04-03,31,,156,7,2,147,0,0,9,3.4
2020-04-04,19,,171,7,2,162,0,0,15,3.8
2020-04-05,17,,191,32,3,156,25,1,20,3.9
2020-04-06,13,,226,32,3,191,0,0,35,2.9
2020-04-07,8,,295,32,3,260,0,0,69,2.8
2020-04-08,39,,329,43,3,283,11,0,34,2.8
2020-04-09,88,,373,43,4,326,0,1,44,2.8
2020-04-10,95,,408,43,4,361,0,0,35,2.7
2020-04-11,701,,488,74,4,410,31,0,80,3.5
2020-04-12,372,,557,74,4,479,0,0,69,3.8
2020-04-13,84,,678,78,4,596,4,0,121,2.7
2020-04-14,279,,799,78,4,717,0,0,121,2.7
2020-04-15,1129,,929,95,5,829,17,1,130,2.7
2020-04-16,396,,1083,110,7,966,15,2,154,2.7
2020-04-17,371,,1507,131,7,1369,21,0,424,2.7
2020-04-18,176,,1646,232,8,1406,101,1,139,3.5
2020-04-19,237,,1760,239,8,1513,7,0,114,3.8
2020-04-20,494,,1846,241,8,1597,2,0,86,2.7
2020-04-21,517,,1973,280,11,1682,39,3,127,2.6
2020-04-22,323,,2267,327,14,1926,47,3,294,2.6
2020-04-23,616,,2458,368,17,2073,41,3,191,2.5
2020-04-24,385,,2711,411,20,2280,43,3,253,2.6
2020-04-25,522,,2926,460,23,2443,49,3,215,3.2
2020-04-26,,,3077,489,27,2561,29,4,151,3.6
2020-04-27,446,,3238,489,27,2722,0,0,161,2.5
2020-04-28,385,,3436,544,27,2865,55,0,198,2.4
2020-04-29,374,,3726,708,29,2989,164,2,290,2.4
2020-04-30,344,,4062,779,29,3254,71,0,336,2.3
2020-05-01,580,,4411,779,33,3599,0,4,349,3.1
2020-05-02,113,,4734,877,33,3824,98,0,323,3.1
2020-05-03,1038,,5029,1061,34,3934,184,1,295,3.4
2020-05-04,297,,5346,1197,37,4112,136,3,317,3
2020-05-05,759,,5572,1468,37,4067,271,0,226,2.9
2020-05-06,544,,5884,1532,40,4312,64,3,312,2.1
2020-05-07,772,,6190,1552,44,4594,20,4,306,2.3
2020-05-08,564,,6565,1597,48,4920,45,4,375,2.2
2020-05-09,694,,6990,1662,53,5275,65,5,425,3.1
2020-05-10,580,,7404,1674,53,5677,12,0,414,3.1
2020-05-11,578,,7711,1681,56,5974,7,3,307,2.9
2020-05-12,1056,,8050,1784,58,6208,103,2,339,2.1
2020-05-13,543,,8485,1848,63,6574,64,5,435,2
2020-05-14,711,,8945,1899,69,6977,51,6,460,2.1
2020-05-15,581,,9486,2005,74,7407,106,5,541,2
2020-05-16,196,,10011,2109,80,7822,104,6,525,3
2020-05-17,903,,10462,2175,85,8202,66,5,451,3.2
2020-05-18,616,,10887,2209,90,8588,34,5,425,2
2020-05-19,772,,11340,2272,95,8973,63,5,453,1.9
2020-05-20,1140,,11795,2480,99,9216,208,4,455,1.9
2020-05-21,366,,12203,2661,104,9438,181,5,408,2
2020-05-22,878,,12592,2859,107,9626,198,3,389,1.8
2020-05-23,696,,12955,3124,113,9718,265,6,363,2.6
2020-05-24,545,,13339,3452,133,9754,328,20,384,2.9
2020-05-25,701,,13713,3590,138,9985,138,5,374,1.6
2020-05-26,754,,14076,3744,150,10182,154,12,363,1.5
2020-05-27,190,,14463,4458,158,9847,714,8,387,1.5
2020-05-28,769,,14846,4783,167,9896,325,9,383,1.6
2020-05-29,919,,15215,5113,178,9924,330,11,369,1.5
2020-05-30,744,,15580,5373,191,10016,260,13,365,2.4
2020-05-31,565,,15949,5680,204,10065,307,13,369,2.9
2020-06-01,744,,16313,5748,213,10352,68,9,364,1.4
2020-06-02,674,,16689,6008,223,10458,260,10,376,1.3
2020-06-03,775,,17069,6331,240,10498,323,17,380,1.3
2020-06-04,655,,17444,6695,264,10485,364,24,375,1.6
2020-06-05,785,,17822,7076,291,10455,381,27,378,1.4
2020-06-06,599,,18169,7462,346,10361,386,55,347,2.5
2020-06-07,454,,18509,7759,377,10373,297,31,340,2.6
2020-06-08,1029,,18835,7915,392,10528,156,15,326,1.2
2020-06-09,718,,19153,8101,433,10619,186,41,318,1.2
2020-06-10,612,,19466,8521,482,10463,420,49,313,1.2
2020-06-11,661,,19769,8864,520,10385,343,38,303,1.2
2020-06-12,759,,20043,9276,561,10206,412,41,274,2.1
2020-06-13,519,,20305,9561,569,10175,285,8,262,2.2
2020-06-14,489,,20561,9677,597,10287,116,28,256,2.5
2020-06-15,693,,20813,9739,635,10439,62,38,252,1
2020-06-16,473,,21047,9971,689,10387,232,54,234,1
2020-06-17,769,,21275,10687,727,9861,716,38,228,1
2020-06-18,569,,21506,11324,756,9426,637,29,231,0.9
2020-06-19,457,,21734,12171,793,8770,847,37,228,1
2020-06-20,414,,21966,12965,814,8187,794,21,232,2.1
2020-06-21,189,,22195,13463,840,7892,498,26,229,2.4
2020-06-22,550,,22412,13647,869,7896,184,29,217,0.9
2020-06-23,163,,22632,13868,904,7860,221,35,220,0.8
2020-06-24,358,,22850,14511,942,7397,643,38,218,1.9
2020-06-25,446,,23071,15100,961,7010,589,19,221,0.8
2020-06-26,525,,23294,15495,1008,6791,395,47,223,0.8
2020-06-27,358,,23518,16211,1065,6242,716,57,224,1.8
2020-06-28,216,,23735,16809,1086,5840,598,21,217,2.3
2020-06-29,375,,23954,17056,1105,5793,247,19,219,0.7
2020-06-30,356,,24207,17310,1136,5761,254,31,253,0.9
2020-07-01,242,,24469,18155,1182,5132,845,46,262,2
2020-07-02,298,,24727,19004,1227,4496,849,45,258,0.8
2020-07-03,314,,24990,19495,1272,4223,491,45,263,0.7
2020-07-04,218,,25261,19746,1303,4212,251,31,271,1.9
2020-07-05,223,,25536,19994,1345,4197,248,42,275,2.6
2020-07-06,239,,25816,20174,1389,4253,180,44,280,0.7
2020-07-07,250,,26094,20359,1437,4298,185,48,278,0.7
2020-07-08,293,,26389,20552,1484,4353,193,47,295,0.7
2020-07-09,180,,26681,20734,1520,4427,182,36,292,0.7
2020-07-10,237,,26981,20890,1541,4550,156,21,300,0.7
2020-07-11,240,,27277,21071,1583,4623,181,42,296,2.1
2020-07-12,127,,27570,21233,1603,4734,162,20,293,2.3
